key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXbwd6-AcVuveqdRQAyu,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",187,32991274765884e7ee1423afb3b4b65f,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,187,187,23,27,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyv,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",191,14f8bc258e8e712fd79a028ae2024f97,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,191,191,23,27,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyw,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",195,ef468380a1ea9eb67a3f7a8478c0dd38,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,195,195,23,27,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyx,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",199,481d3ec7cb537eb5dda7a208cf84ee59,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,199,199,23,27,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyy,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",203,e19db1ec427f2fa3f3f641d9531ed5ab,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,203,203,23,27,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyz,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",219,35a91e96fee28a22627ba32b41e8394c,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,219,219,41,45,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAy0,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",223,d3f3df3a3a37574d9718dde325f35c74,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,223,223,23,27,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAy1,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",244,d3f3df3a3a37574d9718dde325f35c74,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,244,244,23,27,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAy2,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",265,d3f3df3a3a37574d9718dde325f35c74,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,265,265,23,27,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAy3,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",305,d3f3df3a3a37574d9718dde325f35c74,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,305,305,23,27,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAy4,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Short""; it is deprecated.",365,70717c0047085746d2d4f9fb26f87276,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,365,365,30,35,CODE_SMELL,apache
AXbwd69icVuveqdRQAyS,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELSupport.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",40,0db5fffcd619df1f5dbcfba3bbcf38cc,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,40,40,41,45,CODE_SMELL,apache
AXbwd69icVuveqdRQAyT,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELSupport.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Character""; it is deprecated.",180,f273ad0a918b695bdf3d85c57e3bb165,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,180,180,23,32,CODE_SMELL,apache
